"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"263","Torin1","C35H28F3N5O2","607.62","mTOR","Liu Q. (2012) J Biol Chem. 287 9742-52","","","","Tocris","1222998-36-8","InChI=1S/C35H28F3N5O2/c1-2-32(44)42-15-13-41(14-16-42)31-11-9-26(19-28(31)35(36,37)38)43-33(45)12-8-24-20-40-30-10-7-22(18-27(30)34(24)43)25-17-23-5-3-4-6-29(23)39-21-25/h3-12,17-21H,2,13-16H2,1H3","AKCRNFFTGXBONI-UHFFFAOYSA-N","49836027","CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F",""
"289","TTT-3002","","","LRRK2","Yao C (2012) Hum Mol Genet.","","","","","","","","","",""
"205","Ubiquitin E1 Inhibitor (PYR-41)","C17H13N3O7 • 3H2O ","425.4 ","Ubiquitin-E1","Yang Y (2007) Cancer Res. 67 9472","","","","Merck (Calbiochem)","418805-02-4","InChI=1S/C17H13N3O7/c1-2-26-17(23)10-3-5-11(6-4-10)19-16(22)13(15(21)18-19)9-12-7-8-14(27-12)20(24)25/h3-9H,2H2,1H3,(H,18,21)/b13-9-","ARGIPZKQJGFSGQ-LCYFTJDESA-N","5335621","CCOC(=O)C1=CC=C(C=C1)N2C(=O)C(=CC3=CC=C(O3)[N+](=O)[O-])C(=O)N2","PYR-41       "
"122","UCN-01","C28H26N4O4","482.5","PKC","Reinhardt H.C. (2007) Cancer Cell 11 175","Jiang X. (2004) Mol. Cancer Ther. 3 1221","15486189","","Sigma","112953-11-4","InChI=1S/C28H26N4O4/c1-28-25(35-3)15(29-2)12-18(36-28)31-16-10-6-4-8-13(16)19-21-22(27(34)30-26(21)33)20-14-9-5-7-11-17(14)32(28)24(20)23(19)31/h4-11,15,18,25,27,29,34H,12H2,1-3H3,(H,30,33)/t15-,18-,25-,27-,28+/m1/s1","PBCZSGKMGDDXIJ-HQCWYSJUSA-N","72271","CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(NC6=O)O)NC)OC","UCN 01, UCN01, 1okz"
"123","Uo126","C18H16N6S2","380.48","MEK1, MEK2","Favata (1998) J. Biol. Chem. 273 18623","Duncia  (1998) Bioorg. Med. Chem. Lett. 8 2839","9873633","","Tocris","109511-58-2","InChI=1S/C18H16N6S2/c19-9-11(17(23)25-15-7-3-1-5-13(15)21)12(10-20)18(24)26-16-8-4-2-6-14(16)22/h1-8H,21-24H2/b17-11+,18-12+","DVEXZJFMOKTQEZ-JYFOCSDGSA-N","3006531","C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N","Uo 126, Uo-126"
"340","Volasertib","C34H50N8O3","618.81","PLK1","Rudolph D (2009) Clin Cancer Res 15(9) 3094-3102","Grinshtein N (2011) Cancer Res 71(4) 1385-1395","21303981","","Selleck","755038-65-4","InChI=1S/C34H50N8O3/c1-6-28-33(44)39(4)29-20-35-34(38-31(29)42(28)22(2)3)37-27-14-9-24(19-30(27)45-5)32(43)36-25-10-12-26(13-11-25)41-17-15-40(16-18-41)21-23-7-8-23/h9,14,19-20,22-23,25-26,28H,6-8,10-13,15-18,21H2,1-5H3,(H,36,43)(H,35,37,38)/t25?,26?,28-/m1/s1","SXNJFOWDRLKDSF-XKHVUIRMSA-N","10461508","CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C","BI6727, BI 6727, BI-6727"
"330","VPS34-IN1","C21H24ClN7O","425.91","Vps34","Bago R (2014) Biochem J.","","","WO2012085815","","","InChI=1S/C21H24ClN7O/c1-21(2,30)12-26-19-25-11-15(17(29-19)9-13-3-4-13)16-6-8-24-20(28-16)27-14-5-7-23-18(22)10-14/h5-8,10-11,13,30H,3-4,9,12H2,1-2H3,(H,25,26,29)(H,23,24,27,28)","AWNXKZVIZARMME-UHFFFAOYSA-N","","CC(C)(CNc1ncc(c(n1)CC2CC2)c3ccnc(n3)Nc4ccnc(c4)Cl)O","SHN-2-004, SHN2004, SHN 2 004, AZ-1194, AZ1194, VPS34IN1, VPS34 IN1, AZ13691194"
"321","VPS34-IN2 (PIK-III)","C17H17N7","319.36","PI3K,  VPS34","William E. Dowdle (2014) Nature Cell Biology","","","WO2012085815","","","InChI=1S/C17H17N7/c18-16-21-10-13(15(23-16)9-11-1-2-11)14-5-8-20-17(24-14)22-12-3-6-19-7-4-12/h3-8,10-11H,1-2,9H2,(H2,18,21,23)(H,19,20,22,24)","XXSDLQLNIVFIJI-UHFFFAOYSA-N","","c1cnccc1Nc2nccc(n2)c3cnc(nc3CC4CC4)N","PIK-III, VPS34-Novartis, VPS34 Novartis, VPS34 IN2, VPS34IN2, SHN-1927"
"125","VX-680","C23H28N8OS","464.59","Aurora","Harrington E.A. (2004) Nature Medicine 10 262","","","","Tocris","639089-54-6","InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)","GCIKSSRWRFVXBI-UHFFFAOYSA-N","5494449","CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)SC4=CC=C(C=C4)NC(=O)C5CC5","SHN-161, VX680, VX 680, MK 0457, Tozasertib"
"124","VX-745","C19H9Cl2F2N3OS","436.26","p38 MAPK","Tsai YR Epub 2013 Jan 21 Eur J Pharmacol.  2013 Feb 15 701(1-3) 96-105","","","WO1998027098","Selleck","209410-46-8","InChI=1S/C19H9Cl2F2N3OS/c20-11-2-1-3-12(21)17(11)18-14-5-7-16(25-26(14)9-24-19(18)27)28-15-6-4-10(22)8-13(15)23/h1-9H","VEPKQEUBKLEPRA-UHFFFAOYSA-N","3038525","C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl","SHN-991, VX 745, VX745, Jsp004294, AC1MI50I"
"285","Withaferin A","C28H38O6","470.6","IKKβ","Kaileh (2007) J.Biol.Chem. 282 4253","","","","Tocris","5119-48-2","InChI=1S/C28H38O6/c1-14-11-21(33-25(32)17(14)13-29)15(2)18-5-6-19-16-12-24-28(34-24)23(31)8-7-22(30)27(28,4)20(16)9-10-26(18,19)3/h7-8,15-16,18-21,23-24,29,31H,5-6,9-13H2,1-4H3/t15-,16-,18+,19-,20-,21+,23-,24+,26+,27-,28+/m0/s1","DBRXOUCRJQVYJQ-CKNDUULBSA-N","265237","CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO",""
"357","WNK-463","C21H24F3N7O2","463.46","WNK","Yamada K (2016) Nat Chem Biol. 12(11) 896-898","","","","","","InChI=1S/C21H24F3N7O2/c1-20(2,3)27-17(32)15-11-25-12-31(15)14-6-8-30(9-7-14)16-5-4-13(10-26-16)18-28-29-19(33-18)21(22,23)24/h4-5,10-12,14H,6-9H2,1-3H3,(H,27,32)","HWSHOMMVLGBIDN-UHFFFAOYSA-N","121487936","CC(C)(C)NC(=O)c1cncn1C2CCN(CC2)c3ccc(cn3)c4nnc(o4)C(F)(F)F","WNK463, WNK 463, SHN-2469, SHN 2469, SHN2469, CS-5921, HY-100626"
"126","Wortmannin (KY 12420)","C23H24O8","428.4","PI3K","Cross M.J. (1995) J. Biol. Chem. 270 25352","Nakamura I. (1995) FEBS Lett. 361 79","7890044","","Merck (Calbiochem)","19545-26-7","InChI=1S/C23H24O8/c1-10(24)30-13-7-22(2)12(5-6-14(22)25)16-18(13)23(3)15(9-28-4)31-21(27)11-8-29-20(17(11)23)19(16)26/h8,12-13,15H,5-7,9H2,1-4H3/t12-,13+,15+,22-,23-/m0/s1","QDLHCMPXEPAAMD-QAIWCSMKSA-N","312145","CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C","Wartmannin, Antibiotic SL-2052, MLS002703028, KY 12420"
"299","WP1130","C19H18BrN3O","384.26972","DUB","V Kapuria (2011) Cell Signal 23(12) 2076-2085.","V Kapuria (2010) Cancer Res 70(22) 9265-9276","","","","","InChI=1S/C19H18BrN3O/c1-2-7-17(14-8-4-3-5-9-14)23-19(24)15(13-21)12-16- 10-6-11-18(20)22-16/h3-6,8-12,17H,2,7H2,1H3,(H,23,24)/b15-12+/t17-/m0/s1","LIDOPKHSVQTSJY-VMEIHUARSA-N","11222830","CCC[C@@H](C1=CC=CC=C1)NC(=O)/C(=C/C2=NC(=CC=C2)Br)/C#N",""
"127","Wyeth PDK1 Inhibitor Compound 1","C19H22Cl4N4O2","480.21","PDK1","Gopalsamy A. (2007) Journal of Medicinal Chemistry  50 (23)  5547-5549","","","","","","","","","","SHN-680"
"128","Y-27632","C14H21N3O • 2HCl • H2O","338.3","ROCK ","Watanabe K. (2007) Nature Biotech. 25 681","Chitaley K. (2001) Nat. Med. 7 119","11135626","","Merck (Calbiochem)","146986-50-7","InChI=1S/C14H21N3O/c1-10(15)11-2-4-12(5-3-11)14(18)17-13-6-8-16-9-7-13/h6-12H,2-5,15H2,1H3,(H,16,17,18)/t10-,11?,12?/m1/s1","IYOZTVGMEWJPKR-VOMCLLRMSA-N","448042","CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N","Ximelegatran, Y27632       , Y 27632       "
"129","Zearalenone","C18H22O5","318.4","Estrogen receptor (ER)","Powell-Jones W. (1981) Mol. Pharmacol. 20 35-42","","","","Sigma","17924-92-4","InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1","MBMQEIFVQACCCH-QBODLPLBSA-N","5281576","CC1CCCC(=O)CCCC=CC2=CC(=CC(=C2C(=O)O1)O)O","Mycotoxin F2, F-2 toxin       , Toxin F2, Zenone, trans-Zearalenone"
"130","ZM 336372","C23H23N3O3","389.4","c-Raf","Hall-Jackson C.A. (1999) Chem. Biol. 6 559","","","","Merck (Calbiochem)","208260-29-1","InChI=1S/C23H23N3O3/c1-15-7-10-18(24-23(29)17-5-4-6-19(13-17)26(2)3)14-21(15)25-22(28)16-8-11-20(27)12-9-16/h4-14,27H,1-3H3,(H,24,29)(H,25,28)","PYEFPDQFAZNXLI-UHFFFAOYSA-N","5730","CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)N(C)C)NC(=O)C3=CC=C(C=C3)O","ZM336372, ZM-336372"
